node_id,observed_label,degree,is_poisoned,score_legacy_structure,score_legacy_input_spectrum,score_legacy_model_js,score_legacy_spectral_relation,score_legacy_transfer,score_global_mad_structure,score_global_mad_input_spectrum,score_global_mad_model_js,score_global_mad_spectral_relation,score_global_mad_transfer,score_global_ecdf_structure,score_global_ecdf_input_spectrum,score_global_ecdf_model_js,score_global_ecdf_spectral_relation,score_global_ecdf_transfer,score_trimmed_structure,score_trimmed_input_spectrum,score_trimmed_model_js,score_trimmed_spectral_relation,score_trimmed_transfer,score_hybrid_structure,score_hybrid_input_spectrum,score_hybrid_model_js,score_hybrid_spectral_relation,score_hybrid_transfer,score_legacy_combined,score_global_mad_combined,score_global_ecdf_combined,score_trimmed_combined,score_hybrid_combined,moment_0,moment_1,moment_2,moment_3,input_band_0,input_band_1,input_band_2,input_band_3,model_js_layer_1,model_js_layer_2,spectral_relation_layer_1,spectral_relation_layer_2,delta_gain_l1_b0,delta_gain_l1_b1,delta_gain_l1_b2,delta_gain_l1_b3,delta_gain_l2_b0,delta_gain_l2_b1,delta_gain_l2_b2,delta_gain_l2_b3
0,0,9,0,1.9269877406520215,0.6305079091092542,1.271059974936604,0.6024112402658323,3.660381399310272,1.636651692890445,1.119868529736166,0.34287433193886707,0.40732827269227195,2.504473085564179,2.0957734450892316,1.4693919608415476,0.16804711811935585,0.5735122262275201,2.788920625649177,3.4644696690668217,0.683573260138622,0.5322682063670204,1.1637057723379323,4.1717057239421145,0.8703703703703703,0.47777777777777786,0.13703703703703704,0.38888888888888884,0.8222222222222223,1.3278949405182998,0.4866666666666667,0.5644444444444445,0.5666666666666667,0.5355555555555556,1.2594424,1.5517813,1.9847893,2.6112149,0.98336506,0.006693119,0.0063437475,0.0035981012,0.0001848649,0.0007661113,0.005532309878617525,0.0014459992526099086,1.4663341,1.2344532,0.043416977,-0.056717873,3.330208,5.87401,3.3775988,3.9211855
4,0,12,1,2.338775005023332,0.5338305582753088,0.9907283432907018,0.6022892952501251,3.1347045926807318,2.086478136366826,0.9648354110632458,1.88247174485656,0.22816082389836756,1.6636529018233825,3.1354942159291506,2.0957734450892316,0.5735122262275202,0.3092496257948245,1.1228183705615749,3.1779080235727974,0.5786329415090009,0.4390786251564546,1.0761888851641779,2.0745698712955822,0.9222222222222222,0.4740740740740741,0.38518518518518513,0.25555555555555554,0.3666666666666667,1.0833927712747202,0.5266666666666666,0.48666666666666664,0.4288888888888889,0.4177777777777777,1.2387484,1.6050038,2.1439688,2.9235697,0.9204,0.071946785,0.0069745285,0.00067868026,7.862938e-05,0.0039563403,0.00571218179538846,0.0011808952549472451,1.0469229,1.210052,1.1647601,1.616663,2.6909978,4.150755,3.044248,2.3692307
7,0,7,0,0.5509142466826981,0.5720148589900506,1.8123130642261664,0.5585218278861206,1.0277741197167636,0.47580184601134834,0.63097387540561,0.6449502890737744,0.29986847312746423,0.5701845660681588,0.496436886313891,1.1228183705615749,0.4913607005818821,0.30401397586117673,0.6105662123043811,0.7317700500237083,0.5669882428058625,1.552267066069136,0.7594760184702055,1.1727803869590172,0.2851851851851852,0.3296296296296296,0.48518518518518516,0.21851851851851853,0.040740740740740744,0.9323807039165593,0.23777777777777773,0.24666666666666667,0.3311111111111112,0.24,1.0437386,1.2716272,1.6515392,2.2330604,0.96304846,0.032087833,0.0032773816,0.0015861497,6.154047e-05,0.0015194495,0.005832620896399021,0.0013670013286173344,1.5097117,1.6655769,1.3355904,0.9222517,3.4335532,4.86682,3.6455631,2.2526865
11,2,13,0,0.4022025314178399,0.699707072261675,0.4965529765215619,0.15211753831801317,1.510544361035909,0.2699650515674225,0.5626838872250175,0.5412983246288234,0.7070824290494067,1.5002046503083766,0.27370166495295933,0.5825214789788593,0.9701275457859843,0.6646730046244975,1.5260563034950494,0.1638295710263404,1.39576821627095,0.5082285552299224,0.3012324422180782,1.5318339364399118,0.0925925925925926,0.337037037037037,0.3925925925925926,0.35185185185185186,0.3222222222222222,1.5144676793247211,0.30444444444444446,0.3288888888888889,0.2644444444444444,0.23333333333333334,1.0620669,1.2469318,1.5349997,1.9600425,0.9543264,0.021665143,0.017963093,0.006045325,0.0013012246,0.00017327821,0.0078283017501235,0.0002865017158910632,2.2733982,1.5183945,0.42557716,0.31913567,3.544132,3.8431954,2.5485039,3.0041723
13,0,12,0,1.293992307274743,0.6879554381597514,0.26172411440692944,0.6210111077740201,7.000351372844891,0.6809028436673652,1.1965677560291725,0.4862381152672297,0.4401715486309526,2.2045081790725582,0.6505875661411494,1.6903083369810674,0.6646730046244974,0.6402779225397814,2.2396144813151224,1.412308020025686,0.9398605808828543,0.8690509793510521,1.7952383571643287,7.779670538157567,0.46296296296296297,0.5666666666666667,0.37407407407407406,0.46296296296296297,0.7703703703703703,2.110693557968059,0.45111111111111113,0.5022222222222222,0.6288888888888888,0.5288888888888889,1.0266857,1.1863092,1.4375011,1.8061146,0.9865625,0.004568059,0.006936292,0.0019331825,2.5414332e-05,0.0011801785,0.005980753339827061,0.0016809303779155016,1.5205896,1.660842,1.0829878,0.8677921,3.4830496,6.3045077,1.3912792,1.275464
15,0,4,0,1.9176258123914418,7.948997682575367,5.010851530276437,10.0,5.762062240758972,1.2452462856861235,7.450525170722553,0.1840789401435446,6.435261846301557,0.997529516309182,1.1228183705615749,3.1354942159291506,0.13976194237515865,2.5861880715950956,1.5899729892499916,2.557227173300154,10.0,4.357276248702415,10.0,5.080890956476084,0.725925925925926,0.9814814814814815,0.3074074074074074,0.9851851851851853,0.4407407407407408,9.595930485601478,0.5533333333333335,0.5955555555555556,0.9155555555555555,0.6511111111111111,1.0235087,1.1416297,1.3285798,1.5987307,0.7336598,0.11934123,0.107253864,0.039745115,0.0010895948,0.000706057,0.018484441563487053,0.007855309173464775,1.6488466,1.498169,1.1114149,0.82411194,3.3134995,3.3469791,2.5016909,2.6046925
16,1,9,0,0.1741849321886136,0.3357334943770577,0.5081407993170959,0.4411494866210008,3.4417535578080587,0.2100947076728685,1.5346529198444883,3.796748283674818,1.7188125594192312,3.429356613217398,0.19105523676270936,0.7017269907013585,0.8085140408503878,2.162539141401493,3.1354942159291506,0.6743902449205874,0.41066663373508855,0.029677867680790008,1.061317909998471,4.387237848668987,0.08518518518518518,0.3444444444444445,0.425925925925926,0.7518518518518519,0.9518518518518518,1.1093633669143321,0.6911111111111111,0.5311111111111112,0.31333333333333335,0.5088888888888888,1.1158583,1.3062571,1.6004691,2.0260744,0.9205176,0.03887183,0.02745311,0.013157427,0.0008062578,0.008278404,0.00017273220873903483,0.0,0.9888301,2.0538135,0.6429634,0.96052074,2.3458114,6.683666,5.2387958,4.32384
19,2,9,0,0.16484150156737823,0.7784371609774419,0.4082163686086085,0.5349498010436371,2.639460086733706,0.667259190310102,0.6197261786804391,0.9229582863002899,0.7947019263688826,1.4646215614271099,0.533490872390752,1.3437347467010947,1.131827623312914,0.7417483445381267,2.788920625649178,0.5557092942184716,1.0122947647025367,0.5261105776478208,0.6506407847066316,3.6038842600608487,0.29259259259259257,0.4481481481481482,0.4777777777777777,0.44814814814814813,0.6925925925925925,1.2566737239513703,0.4111111111111111,0.6244444444444444,0.38,0.47777777777777775,1.0364797,1.1942276,1.4436358,1.805944,0.95674384,0.03859749,0.0027881272,0.0018706328,0.002488758,0.0003616305,0.00831806194037199,0.0003239071520511061,2.2093866,1.2664752,0.8296032,2.0771666,3.5923128,4.017487,2.4753847,2.847168
24,0,6,0,0.651897411875729,0.2559104966839271,0.7311946500827742,0.8975115824911319,1.2212053482404248,0.660559310237347,0.3477560869884283,0.3161818942330808,0.4004613330618778,0.8488300448844748,0.6940932546359643,0.3040139758611768,0.2852724292338065,0.39935887909341233,0.832909122935104,1.3029344508820515,1.0387377521500556,0.3360494996418335,1.4527318540635097,1.2233026192021696,0.4407407407407408,0.17407407407407408,0.0925925925925926,0.3888888888888889,0.0925925925925926,0.9184641458791356,0.1622222222222222,0.1711111111111111,0.38,0.20222222222222222,1.1557697,1.388332,1.7419215,2.252279,0.94916975,0.030937642,0.016665969,0.0032265685,8.688003e-05,0.00089559297,0.006481905467808247,0.0013972391607239842,1.5026402,1.7834902,1.571989,1.5080233,3.4213762,4.686686,2.4052472,2.663906
26,0,6,0,0.8110074370067715,2.7924728590007106,1.8792335500184238,4.6311311712856735,1.8542668870716084,0.35921661534954674,2.5799753102876544,0.6327822187957339,0.9219670490174741,1.869921540181258,0.3022808718729337,1.1895840668738362,0.9701275457859843,1.0883219348180997,1.8930408910351495,1.0064543487836815,5.171238514725599,1.6684594270444417,5.167541163188047,2.287514069714035,0.25555555555555554,0.7444444444444445,0.6148148148148148,0.7148148148148148,0.5296296296296297,3.557653683137202,0.5177777777777778,0.5199999999999999,0.6777777777777778,0.64,1.107519,1.273156,1.5262933,1.8931149,0.879202,0.05751999,0.047646075,0.015631944,7.802248e-06,0.0014532763,0.0059022908098995686,0.002576112747192383,1.4964406,1.5919857,1.5078125,1.5304451,3.2458477,4.7131653,1.9254441,1.2234039
